"GENE","EFFECT","n"
"S","missense_variant",35
"orf1ab","synonymous_variant",29
"orf1ab","missense_variant",27
"N","missense_variant",16
"S","synonymous_variant",5
"orf1ab","upstream_gene_variant",5
"ORF8","missense_variant",4
"S","disruptive_inframe_deletion",4
"S","downstream_gene_variant",4
"N","upstream_gene_variant",3
"ORF3a","missense_variant",3
"orf1ab","conservative_inframe_deletion",3
"orf1ab","stop_lost",3
"M","missense_variant",2
"N","synonymous_variant",2
"E","missense_variant",1
"M","synonymous_variant",1
"N","disruptive_inframe_deletion",1
"ORF10","upstream_gene_variant",1
"ORF6","conservative_inframe_deletion",1
"ORF7a","missense_variant",1
"ORF8","stop_gained",1
"ORF8","synonymous_variant",1
